Notes,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,Deaths,Births,Death Rate
,Georgia,13,2009,2009,20-24 years,20-24,337,37585,8.97
,Georgia,13,2009,2009,25-29 years,25-29,256,38923,6.58
,Georgia,13,2009,2009,30-34 years,30-34,164,29933,5.48
,Georgia,13,2009,2009,35-39 years,35-39,102,15026,6.79
,Georgia,13,2009,2009,40-44 years,40-44,19,3132,6.07
,Georgia,13,2010,2010,15-19 years,15-19,127,14378,8.83
,Georgia,13,2010,2010,20-24 years,20-24,236,35012,6.74
,Georgia,13,2010,2010,25-29 years,25-29,228,36582,6.23
,Georgia,13,2010,2010,30-34 years,30-34,155,29835,5.2
,Georgia,13,2010,2010,35-39 years,35-39,80,14496,5.52
,Georgia,13,2010,2010,40-44 years,40-44,20,3265,6.13
,Georgia,13,2011,2011,15-19 years,15-19,123,12991,9.47
,Georgia,13,2011,2011,20-24 years,20-24,259,34417,7.53
,Georgia,13,2011,2011,25-29 years,25-29,230,36490,6.3
,Georgia,13,2011,2011,30-34 years,30-34,166,30505,5.44
,Georgia,13,2011,2011,35-39 years,35-39,99,14220,6.96
,Georgia,13,2011,2011,40-44 years,40-44,26,3348,7.77
,Georgia,13,2012,2012,15-19 years,15-19,97,11488,8.44
,Georgia,13,2012,2012,20-24 years,20-24,244,34145,7.15
,Georgia,13,2012,2012,25-29 years,25-29,186,36069,5.16
,Georgia,13,2012,2012,30-34 years,30-34,157,30435,5.16
,Georgia,13,2012,2012,35-39 years,35-39,91,14292,6.37
,Georgia,13,2012,2012,40-44 years,40-44,30,3445,8.71
,Georgia,13,2013,2013,15-19 years,15-19,76,10322,7.36
,Georgia,13,2013,2013,20-24 years,20-24,279,33126,8.42
,Georgia,13,2013,2013,25-29 years,25-29,225,35958,6.26
,Georgia,13,2013,2013,30-34 years,30-34,208,31076,6.69
,Georgia,13,2013,2013,35-39 years,35-39,76,14488,5.25
,Georgia,13,2013,2013,40-44 years,40-44,31,3412,9.09
,Georgia,13,2014,2014,15-19 years,15-19,96,9661,9.94
,Georgia,13,2014,2014,20-24 years,20-24,284,32453,8.75
,Georgia,13,2014,2014,25-29 years,25-29,246,37212,6.61
,Georgia,13,2014,2014,30-34 years,30-34,222,32290,6.88
,Georgia,13,2014,2014,35-39 years,35-39,104,15473,6.72
,Georgia,13,2014,2014,40-44 years,40-44,29,3506,8.27
,Hawaii,15,2007,2007,15-19 years,15-19,19,1610,11.8
,Hawaii,15,2007,2007,20-24 years,20-24,30,4679,6.41
,Hawaii,15,2007,2007,25-29 years,25-29,33,5099,6.47
,Hawaii,15,2007,2007,30-34 years,30-34,30,4365,6.87
,Hawaii,15,2007,2007,35-39 years,35-39,12,2667,4.5
,Hawaii,15,2008,2008,15-19 years,15-19,10,1625,6.15
,Hawaii,15,2008,2008,20-24 years,20-24,24,4590,5.23
,Hawaii,15,2008,2008,25-29 years,25-29,29,5291,5.48
,Hawaii,15,2008,2008,30-34 years,30-34,30,4533,6.62
,Hawaii,15,2008,2008,35-39 years,35-39,11,2692,4.09
,Hawaii,15,2009,2009,15-19 years,15-19,10,1547,6.46
,Hawaii,15,2009,2009,20-24 years,20-24,28,4390,6.38
,Hawaii,15,2009,2009,25-29 years,25-29,31,5274,5.88
,Hawaii,15,2009,2009,30-34 years,30-34,21,4408,4.76
,Hawaii,15,2009,2009,35-39 years,35-39,17,2604,6.53
,Hawaii,15,2010,2010,15-19 years,15-19,10,1347,7.42
,Hawaii,15,2010,2010,20-24 years,20-24,35,4472,7.83
,Hawaii,15,2010,2010,25-29 years,25-29,34,5311,6.4
,Hawaii,15,2010,2010,30-34 years,30-34,26,4586,5.67
,Hawaii,15,2011,2011,15-19 years,15-19,14,1199,11.68
,Hawaii,15,2011,2011,20-24 years,20-24,26,4475,5.81
,Hawaii,15,2011,2011,25-29 years,25-29,24,5286,4.54
,Hawaii,15,2011,2011,30-34 years,30-34,18,4685,3.84
,Hawaii,15,2011,2011,35-39 years,35-39,16,2553,6.27
,Hawaii,15,2012,2012,20-24 years,20-24,18,4222,4.26
,Hawaii,15,2012,2012,25-29 years,25-29,28,5269,5.31
,Hawaii,15,2012,2012,30-34 years,30-34,18,4980,3.61
,Hawaii,15,2012,2012,35-39 years,35-39,14,2621,5.34
,Hawaii,15,2013,2013,15-19 years,15-19,16,976,16.39
,Hawaii,15,2013,2013,20-24 years,20-24,29,4188,6.92
,Hawaii,15,2013,2013,25-29 years,25-29,32,5322,6.01
,Hawaii,15,2013,2013,30-34 years,30-34,24,4917,4.88
,Hawaii,15,2013,2013,35-39 years,35-39,16,2840,5.63
,Hawaii,15,2014,2014,15-19 years,15-19,10,893,11.2
,Hawaii,15,2014,2014,20-24 years,20-24,13,3875,3.35
,Hawaii,15,2014,2014,25-29 years,25-29,23,5190,4.43
,Hawaii,15,2014,2014,30-34 years,30-34,16,5080,3.15
,Hawaii,15,2014,2014,35-39 years,35-39,13,2709,4.8
,Idaho,16,2007,2007,15-19 years,15-19,19,2257,8.42
,Idaho,16,2007,2007,20-24 years,20-24,55,7548,7.29
,Idaho,16,2007,2007,25-29 years,25-29,40,7909,5.06
,Idaho,16,2007,2007,30-34 years,30-34,33,4753,6.94
,Idaho,16,2007,2007,35-39 years,35-39,14,2084,6.72
,Idaho,16,2008,2008,15-19 years,15-19,24,2261,10.61
,Idaho,16,2008,2008,20-24 years,20-24,48,7280,6.59
,Idaho,16,2008,2008,25-29 years,25-29,32,8155,3.92
,Idaho,16,2008,2008,30-34 years,30-34,25,4957,5.04
,Idaho,16,2009,2009,15-19 years,15-19,18,2038,8.83
,Idaho,16,2009,2009,20-24 years,20-24,40,6774,5.9
,Idaho,16,2009,2009,25-29 years,25-29,41,7532,5.44
,Idaho,16,2009,2009,30-34 years,30-34,18,4974,3.62
,Idaho,16,2009,2009,35-39 years,35-39,10,1977,5.06
,Idaho,16,2010,2010,15-19 years,15-19,18,1863,9.66
,Idaho,16,2010,2010,20-24 years,20-24,25,6333,3.95
,Idaho,16,2010,2010,25-29 years,25-29,31,7570,4.1
,Idaho,16,2010,2010,30-34 years,30-34,19,5044,3.77
,Idaho,16,2010,2010,35-39 years,35-39,15,1939,7.74
,Idaho,16,2011,2011,15-19 years,15-19,12,1584,7.58
,Idaho,16,2011,2011,20-24 years,20-24,40,6109,6.55
,Idaho,16,2011,2011,25-29 years,25-29,31,7141,4.34
,Idaho,16,2011,2011,30-34 years,30-34,21,5099,4.12
,Idaho,16,2012,2012,15-19 years,15-19,15,1568,9.57
,Idaho,16,2012,2012,20-24 years,20-24,35,6285,5.57
,Idaho,16,2012,2012,25-29 years,25-29,40,7317,5.47
,Idaho,16,2012,2012,30-34 years,30-34,18,5312,3.39
,Idaho,16,2013,2013,15-19 years,15-19,17,1425,11.93
,Idaho,16,2013,2013,20-24 years,20-24,29,5859,4.95
,Idaho,16,2013,2013,25-29 years,25-29,33,7299,4.52
,Idaho,16,2013,2013,30-34 years,30-34,29,5206,5.57
,Idaho,16,2013,2013,35-39 years,35-39,13,2112,6.16
,Idaho,16,2014,2014,20-24 years,20-24,36,6144,5.86
,Idaho,16,2014,2014,25-29 years,25-29,39,7222,5.4
,Idaho,16,2014,2014,30-34 years,30-34,22,5468,4.02
,Idaho,16,2014,2014,35-39 years,35-39,11,2261,4.87
,Illinois,17,2007,2007,15-19 years,15-19,184,18089,10.17
,Illinois,17,2007,2007,20-24 years,20-24,291,40055,7.27
,Illinois,17,2007,2007,25-29 years,25-29,325,50665,6.41
,Illinois,17,2007,2007,30-34 years,30-34,225,43847,5.13
,Illinois,17,2007,2007,35-39 years,35-39,151,23038,6.55
,Illinois,17,2007,2007,40-44 years,40-44,45,4578,9.83
,Illinois,17,2008,2008,15-19 years,15-19,178,17410,10.22
,Illinois,17,2008,2008,20-24 years,20-24,319,38421,8.3
,Illinois,17,2008,2008,25-29 years,25-29,327,49310,6.63
,Illinois,17,2008,2008,30-34 years,30-34,256,44165,5.8
,Illinois,17,2008,2008,35-39 years,35-39,142,22227,6.39
,Illinois,17,2008,2008,40-44 years,40-44,42,4661,9.01
,Illinois,17,2009,2009,15-19 years,15-19,164,16196,10.13
,Illinois,17,2009,2009,20-24 years,20-24,282,36336,7.76
,Illinois,17,2009,2009,25-29 years,25-29,274,47486,5.77
,Illinois,17,2009,2009,30-34 years,30-34,255,44226,5.77
,Illinois,17,2009,2009,35-39 years,35-39,160,21669,7.38
,Illinois,17,2009,2009,40-44 years,40-44,42,4745,8.85
,Illinois,17,2010,2010,15-19 years,15-19,146,14798,9.87
,Illinois,17,2010,2010,20-24 years,20-24,295,34269,8.61
,Illinois,17,2010,2010,25-29 years,25-29,279,45516,6.13
,Illinois,17,2010,2010,30-34 years,30-34,234,44391,5.27
,Illinois,17,2010,2010,35-39 years,35-39,140,20951,6.68
,Illinois,17,2010,2010,40-44 years,40-44,32,4749,6.74
,Illinois,17,2011,2011,15-19 years,15-19,129,13026,9.9
,Illinois,17,2011,2011,20-24 years,20-24,252,32638,7.72
,Illinois,17,2011,2011,25-29 years,25-29,267,44504,6
,Illinois,17,2011,2011,30-34 years,30-34,242,44911,5.39
,Illinois,17,2011,2011,35-39 years,35-39,133,21060,6.32
,Illinois,17,2011,2011,40-44 years,40-44,25,4719,5.3
,Illinois,17,2012,2012,15-19 years,15-19,128,12098,10.58
,Illinois,17,2012,2012,20-24 years,20-24,246,32063,7.67
,Illinois,17,2012,2012,25-29 years,25-29,264,43672,6.05
,Illinois,17,2012,2012,30-34 years,30-34,229,45155,5.07
,Illinois,17,2012,2012,35-39 years,35-39,128,20993,6.1
,Illinois,17,2012,2012,40-44 years,40-44,33,4705,7.01
,Illinois,17,2013,2013,15-19 years,15-19,95,10525,9.03
,Illinois,17,2013,2013,20-24 years,20-24,218,31251,6.98
,Illinois,17,2013,2013,25-29 years,25-29,248,42541,5.83
,Illinois,17,2013,2013,30-34 years,30-34,223,45809,4.87
,Illinois,17,2013,2013,35-39 years,35-39,112,21643,5.17
,Illinois,17,2013,2013,40-44 years,40-44,37,4682,7.9
,Illinois,17,2014,2014,15-19 years,15-19,71,9591,7.4
,Illinois,17,2014,2014,20-24 years,20-24,260,30975,8.39
,Illinois,17,2014,2014,25-29 years,25-29,277,43178,6.42
,Illinois,17,2014,2014,30-34 years,30-34,260,47195,5.51
,Illinois,17,2014,2014,35-39 years,35-39,140,22535,6.21
,Illinois,17,2014,2014,40-44 years,40-44,29,4632,6.26
,Indiana,18,2007,2007,15-19 years,15-19,115,9948,11.56
,Indiana,18,2007,2007,20-24 years,20-24,210,25642,8.19
,Indiana,18,2007,2007,25-29 years,25-29,186,27141,6.85
,Indiana,18,2007,2007,30-34 years,30-34,96,17912,5.36
,Indiana,18,2007,2007,35-39 years,35-39,59,7588,7.78
,Indiana,18,2007,2007,40-44 years,40-44,15,1456,10.3
,Indiana,18,2008,2008,15-19 years,15-19,90,9607,9.37
,Indiana,18,2008,2008,20-24 years,20-24,204,25066,8.14
,Indiana,18,2008,2008,25-29 years,25-29,142,26940,5.27
,Indiana,18,2008,2008,30-34 years,30-34,93,17833,5.22
,Indiana,18,2008,2008,35-39 years,35-39,59,7630,7.73
,Indiana,18,2008,2008,40-44 years,40-44,14,1469,9.53
,Indiana,18,2009,2009,15-19 years,15-19,86,9527,9.03
,Indiana,18,2009,2009,20-24 years,20-24,220,23995,9.17
,Indiana,18,2009,2009,25-29 years,25-29,181,26316,6.88
,Indiana,18,2009,2009,30-34 years,30-34,132,17941,7.36
,Indiana,18,2009,2009,35-39 years,35-39,49,7218,6.79
,Indiana,18,2010,2010,15-19 years,15-19,109,8665,12.58
,Indiana,18,2010,2010,20-24 years,20-24,188,22518,8.35
,Indiana,18,2010,2010,25-29 years,25-29,152,25569,5.94
,Indiana,18,2010,2010,30-34 years,30-34,116,18277,6.35
,Indiana,18,2010,2010,35-39 years,35-39,57,7263,7.85
,Indiana,18,2010,2010,40-44 years,40-44,14,1458,9.6
,Indiana,18,2011,2011,15-19 years,15-19,79,7917,9.98
,Indiana,18,2011,2011,20-24 years,20-24,178,22244,8
,Indiana,18,2011,2011,25-29 years,25-29,167,25788,6.48
,Indiana,18,2011,2011,30-34 years,30-34,136,18765,7.25
,Indiana,18,2011,2011,35-39 years,35-39,59,7282,8.1
,Indiana,18,2011,2011,40-44 years,40-44,16,1545,10.36
,Indiana,18,2012,2012,15-19 years,15-19,75,7370,10.18
,Indiana,18,2012,2012,20-24 years,20-24,170,22482,7.56
,Indiana,18,2012,2012,25-29 years,25-29,153,25466,6.01
,Indiana,18,2012,2012,30-34 years,30-34,94,19121,4.92
,Indiana,18,2012,2012,35-39 years,35-39,52,7218,7.2
,Indiana,18,2012,2012,40-44 years,40-44,11,1436,7.66
,Indiana,18,2013,2013,15-19 years,15-19,73,6742,10.83
,Indiana,18,2013,2013,20-24 years,20-24,167,22385,7.46
,Indiana,18,2013,2013,25-29 years,25-29,181,25415,7.12
,Indiana,18,2013,2013,30-34 years,30-34,103,19221,5.36
,Indiana,18,2013,2013,35-39 years,35-39,59,7665,7.7
,Indiana,18,2013,2013,40-44 years,40-44,18,1513,11.9
,Indiana,18,2014,2014,15-19 years,15-19,57,6223,9.16
,Indiana,18,2014,2014,20-24 years,20-24,172,22039,7.8
,Indiana,18,2014,2014,25-29 years,25-29,176,26044,6.76
,Indiana,18,2014,2014,30-34 years,30-34,115,20225,5.69
,Indiana,18,2014,2014,35-39 years,35-39,66,7867,8.39
,Iowa,19,2007,2007,15-19 years,15-19,32,3529,9.07
,Iowa,19,2007,2007,20-24 years,20-24,69,10545,6.54
,Iowa,19,2007,2007,25-29 years,25-29,67,13537,4.95
,Iowa,19,2007,2007,30-34 years,30-34,36,8771,4.1
,Iowa,19,2007,2007,35-39 years,35-39,16,3763,4.25
,Iowa,19,2008,2008,15-19 years,15-19,30,3591,8.35
,Iowa,19,2008,2008,20-24 years,20-24,66,10118,6.52
,Iowa,19,2008,2008,25-29 years,25-29,60,13394,4.48
,Iowa,19,2008,2008,30-34 years,30-34,42,8846,4.75
,Iowa,19,2008,2008,35-39 years,35-39,17,3495,4.86
,Iowa,19,2008,2008,40-44 years,40-44,13,687,18.92
,Iowa,19,2009,2009,15-19 years,15-19,37,3421,10.82
,Iowa,19,2009,2009,20-24 years,20-24,47,9765,4.81
,Iowa,19,2009,2009,25-29 years,25-29,55,13196,4.17
,Iowa,19,2009,2009,30-34 years,30-34,28,9089,3.08
,Iowa,19,2009,2009,35-39 years,35-39,10,3466,2.89
,Iowa,19,2010,2010,15-19 years,15-19,32,3017,10.61
,Iowa,19,2010,2010,20-24 years,20-24,54,9322,5.79
,Iowa,19,2010,2010,25-29 years,25-29,45,12915,3.48
,Iowa,19,2010,2010,30-34 years,30-34,35,9279,3.77
,Iowa,19,2010,2010,35-39 years,35-39,16,3364,4.76
,Iowa,19,2011,2011,15-19 years,15-19,13,2665,4.88
,Iowa,19,2011,2011,20-24 years,20-24,46,8905,5.17
,Iowa,19,2011,2011,25-29 years,25-29,63,12919,4.88
,Iowa,19,2011,2011,30-34 years,30-34,43,9714,4.43
,Iowa,19,2011,2011,35-39 years,35-39,11,3295,3.34
,Iowa,19,2012,2012,15-19 years,15-19,22,2498,8.81
,Iowa,19,2012,2012,20-24 years,20-24,55,9070,6.06
,Iowa,19,2012,2012,25-29 years,25-29,64,12947,4.94
,Iowa,19,2012,2012,30-34 years,30-34,47,9885,4.75
,Iowa,19,2012,2012,35-39 years,35-39,13,3526,3.69
,Iowa,19,2013,2013,15-19 years,15-19,18,2289,7.86
,Iowa,19,2013,2013,20-24 years,20-24,44,8954,4.91
,Iowa,19,2013,2013,25-29 years,25-29,56,13097,4.28
,Iowa,19,2013,2013,30-34 years,30-34,31,10426,2.97
,Iowa,19,2013,2013,35-39 years,35-39,16,3616,4.42
,Iowa,19,2014,2014,15-19 years,15-19,15,2048,7.32
,Iowa,19,2014,2014,20-24 years,20-24,39,8846,4.41
,Iowa,19,2014,2014,25-29 years,25-29,67,13299,5.04
,Iowa,19,2014,2014,30-34 years,30-34,48,10886,4.41
,Iowa,19,2014,2014,35-39 years,35-39,14,3908,3.58
,Kansas,20,2007,2007,15-19 years,15-19,64,4271,14.98
,Kansas,20,2007,2007,20-24 years,20-24,97,11639,8.33
,Kansas,20,2007,2007,25-29 years,25-29,75,12841,5.84
,Kansas,20,2007,2007,30-34 years,30-34,63,8605,7.32
,Kansas,20,2007,2007,35-39 years,35-39,30,3815,7.86
,Kansas,20,2008,2008,15-19 years,15-19,43,4403,9.77
,Kansas,20,2008,2008,20-24 years,20-24,101,11552,8.74
,Kansas,20,2008,2008,25-29 years,25-29,82,12778,6.42
,Kansas,20,2008,2008,30-34 years,30-34,51,8687,5.87
,Kansas,20,2008,2008,35-39 years,35-39,23,3632,6.33
,Kansas,20,2009,2009,15-19 years,15-19,42,4233,9.92
,Kansas,20,2009,2009,20-24 years,20-24,102,11234,9.08
,Kansas,20,2009,2009,25-29 years,25-29,73,12820,5.69
,Kansas,20,2009,2009,30-34 years,30-34,49,8815,5.56
,Kansas,20,2009,2009,35-39 years,35-39,23,3495,6.58
,Kansas,20,2010,2010,15-19 years,15-19,27,3865,6.99
,Kansas,20,2010,2010,20-24 years,20-24,79,10832,7.29
,Kansas,20,2010,2010,25-29 years,25-29,69,12596,5.48
,Kansas,20,2010,2010,30-34 years,30-34,49,8908,5.5
,Kansas,20,2010,2010,35-39 years,35-39,22,3595,6.12
,Kansas,20,2011,2011,15-19 years,15-19,32,3493,9.16
,Kansas,20,2011,2011,20-24 years,20-24,81,10273,7.88
,Kansas,20,2011,2011,25-29 years,25-29,66,12545,5.26
,Kansas,20,2011,2011,30-34 years,30-34,43,9057,4.75
,Kansas,20,2011,2011,35-39 years,35-39,13,3480,3.74
,Kansas,20,2012,2012,15-19 years,15-19,20,3306,6.05
,Kansas,20,2012,2012,20-24 years,20-24,84,10233,8.21
,Kansas,20,2012,2012,25-29 years,25-29,72,12741,5.65
,Kansas,20,2012,2012,30-34 years,30-34,51,9499,5.37
,Kansas,20,2012,2012,35-39 years,35-39,23,3744,6.14
,Kansas,20,2013,2013,15-19 years,15-19,23,2869,8.02
,Kansas,20,2013,2013,20-24 years,20-24,81,9582,8.45
,Kansas,20,2013,2013,25-29 years,25-29,77,12233,6.29
,Kansas,20,2013,2013,30-34 years,30-34,41,9646,4.25
,Kansas,20,2013,2013,35-39 years,35-39,27,3691,7.32
,Kansas,20,2014,2014,15-19 years,15-19,25,2674,9.35
,Kansas,20,2014,2014,20-24 years,20-24,55,9347,5.88
,Kansas,20,2014,2014,25-29 years,25-29,72,12311,5.85
,Kansas,20,2014,2014,30-34 years,30-34,61,10301,5.92
,Kansas,20,2014,2014,35-39 years,35-39,23,3851,5.97
,Kentucky,21,2007,2007,15-19 years,15-19,72,7547,9.54
,Kentucky,21,2007,2007,20-24 years,20-24,137,17977,7.62
,Kentucky,21,2007,2007,25-29 years,25-29,102,17472,5.84
,Kentucky,21,2007,2007,30-34 years,30-34,48,10670,4.5
,Kentucky,21,2007,2007,35-39 years,35-39,27,4658,5.8
,Kentucky,21,2008,2008,15-19 years,15-19,72,7636,9.43
,Kentucky,21,2008,2008,20-24 years,20-24,139,17496,7.94
,Kentucky,21,2008,2008,25-29 years,25-29,99,16848,5.88
,Kentucky,21,2008,2008,30-34 years,30-34,54,10789,5.01
,Kentucky,21,2008,2008,35-39 years,35-39,32,4573,7
,Kentucky,21,2009,2009,15-19 years,15-19,69,7208,9.57
,Kentucky,21,2009,2009,20-24 years,20-24,125,17208,7.26
,Kentucky,21,2009,2009,25-29 years,25-29,102,16723,6.1
,Kentucky,21,2009,2009,30-34 years,30-34,60,11009,5.45
,Kentucky,21,2009,2009,35-39 years,35-39,24,4400,5.45
,Kentucky,21,2010,2010,15-19 years,15-19,55,6684,8.23
,Kentucky,21,2010,2010,20-24 years,20-24,135,16514,8.17
,Kentucky,21,2010,2010,25-29 years,25-29,101,16133,6.26
,Kentucky,21,2010,2010,30-34 years,30-34,66,11061,5.97
,Kentucky,21,2010,2010,35-39 years,35-39,17,4366,3.89
,Kentucky,21,2011,2011,15-19 years,15-19,59,6111,9.65
,Kentucky,21,2011,2011,20-24 years,20-24,114,16185,7.04
,Kentucky,21,2011,2011,25-29 years,25-29,82,16227,5.05
,Kentucky,21,2011,2011,30-34 years,30-34,66,11434,5.77
,Kentucky,21,2011,2011,35-39 years,35-39,29,4393,6.6
,Kentucky,21,2012,2012,15-19 years,15-19,45,5689,7.91
,Kentucky,21,2012,2012,20-24 years,20-24,127,16440,7.73
,Kentucky,21,2012,2012,25-29 years,25-29,120,16477,7.28
,Kentucky,21,2012,2012,30-34 years,30-34,75,11785,6.36
,Kentucky,21,2012,2012,35-39 years,35-39,25,4375,5.71
,Kentucky,21,2013,2013,15-19 years,15-19,59,5410,10.91
,Kentucky,21,2013,2013,20-24 years,20-24,108,16224,6.66
,Kentucky,21,2013,2013,25-29 years,25-29,85,16328,5.21
,Kentucky,21,2013,2013,30-34 years,30-34,67,12077,5.55
,Kentucky,21,2013,2013,35-39 years,35-39,27,4616,5.85
,Kentucky,21,2014,2014,15-19 years,15-19,48,4877,9.84
,Kentucky,21,2014,2014,20-24 years,20-24,127,16161,7.86
,Kentucky,21,2014,2014,25-29 years,25-29,119,16887,7.05
,Kentucky,21,2014,2014,30-34 years,30-34,61,12432,4.91
,Kentucky,21,2014,2014,35-39 years,35-39,32,4859,6.59
,Kentucky,21,2014,2014,40-44 years,40-44,12,861,13.94
,Louisiana,22,2007,2007,15-19 years,15-19,111,8974,12.37
,Louisiana,22,2007,2007,20-24 years,20-24,205,21775,9.41
,Louisiana,22,2007,2007,25-29 years,25-29,158,18711,8.44
,Louisiana,22,2007,2007,30-34 years,30-34,73,10847,6.73
,Louisiana,22,2007,2007,35-39 years,35-39,52,4840,10.74
,Louisiana,22,2008,2008,15-19 years,15-19,117,8817,13.27
,Louisiana,22,2008,2008,20-24 years,20-24,197,20935,9.41
,Louisiana,22,2008,2008,25-29 years,25-29,149,18840,7.91
,Louisiana,22,2008,2008,30-34 years,30-34,80,10891,7.35
,Louisiana,22,2008,2008,35-39 years,35-39,34,4658,7.3
,Louisiana,22,2009,2009,15-19 years,15-19,94,8413,11.17
,Louisiana,22,2009,2009,20-24 years,20-24,187,20437,9.15
,Louisiana,22,2009,2009,25-29 years,25-29,137,19045,7.19
,Louisiana,22,2009,2009,30-34 years,30-34,98,11341,8.64
,Louisiana,22,2009,2009,35-39 years,35-39,38,4583,8.29
,Louisiana,22,2009,2009,40-44 years,40-44,11,984,11.18
,Louisiana,22,2010,2010,15-19 years,15-19,85,7689,11.05
,Louisiana,22,2010,2010,20-24 years,20-24,147,19191,7.66
,Louisiana,22,2010,2010,25-29 years,25-29,136,18439,7.38
,Louisiana,22,2010,2010,30-34 years,30-34,55,11545,4.76
,Louisiana,22,2010,2010,35-39 years,35-39,33,4418,7.47
,Louisiana,22,2010,2010,40-44 years,40-44,12,915,13.11
,Louisiana,22,2011,2011,15-19 years,15-19,69,6970,9.9
,Louisiana,22,2011,2011,20-24 years,20-24,156,18689,8.35
,Louisiana,22,2011,2011,25-29 years,25-29,131,18645,7.03
,Louisiana,22,2011,2011,30-34 years,30-34,99,12083,8.19
,Louisiana,22,2011,2011,35-39 years,35-39,39,4415,8.83
,Louisiana,22,2011,2011,40-44 years,40-44,12,937,12.81
,Louisiana,22,2012,2012,15-19 years,15-19,72,6458,11.15
,Louisiana,22,2012,2012,20-24 years,20-24,186,18832,9.88
,Louisiana,22,2012,2012,25-29 years,25-29,122,18655,6.54
,Louisiana,22,2012,2012,30-34 years,30-34,87,12846,6.77
,Louisiana,22,2012,2012,35-39 years,35-39,32,4763,6.72
,Louisiana,22,2013,2013,15-19 years,15-19,68,5811,11.7
,Louisiana,22,2013,2013,20-24 years,20-24,184,18878,9.75
,Louisiana,22,2013,2013,25-29 years,25-29,136,18898,7.2
,Louisiana,22,2013,2013,30-34 years,30-34,107,13437,7.96
,Louisiana,22,2013,2013,35-39 years,35-39,41,5029,8.15
,Louisiana,22,2013,2013,40-44 years,40-44,11,1012,10.87
,Louisiana,22,2014,2014,15-19 years,15-19,52,5270,9.87
,Louisiana,22,2014,2014,20-24 years,20-24,148,18584,7.96
,Louisiana,22,2014,2014,25-29 years,25-29,132,19845,6.65
,Louisiana,22,2014,2014,30-34 years,30-34,106,14318,7.4
,Louisiana,22,2014,2014,35-39 years,35-39,36,5386,6.68
,Maine,23,2007,2007,20-24 years,20-24,22,3627,6.07
,Maine,23,2007,2007,25-29 years,25-29,25,4195,5.96
,Maine,23,2007,2007,30-34 years,30-34,21,3114,6.74
,Maine,23,2008,2008,20-24 years,20-24,26,3503,7.42
,Maine,23,2008,2008,25-29 years,25-29,12,4040,2.97
,Maine,23,2008,2008,30-34 years,30-34,14,3091,4.53
,Maine,23,2008,2008,35-39 years,35-39,14,1544,9.07
,Maine,23,2009,2009,20-24 years,20-24,22,3430,6.41
,Maine,23,2009,2009,25-29 years,25-29,20,3992,5.01
,Maine,23,2009,2009,30-34 years,30-34,15,3134,4.79
,Maine,23,2010,2010,20-24 years,20-24,28,3237,8.65
,Maine,23,2010,2010,25-29 years,25-29,13,3987,3.26
,Maine,23,2010,2010,30-34 years,30-34,12,3080,3.9
,Maine,23,2011,2011,20-24 years,20-24,20,3121,6.41
,Maine,23,2011,2011,25-29 years,25-29,29,3858,7.52
,Maine,23,2011,2011,30-34 years,30-34,17,3170,5.36
,Maine,23,2012,2012,15-19 years,15-19,10,798,12.53
,Maine,23,2012,2012,20-24 years,20-24,23,2984,7.71
,Maine,23,2012,2012,25-29 years,25-29,26,3943,6.59
,Maine,23,2012,2012,30-34 years,30-34,18,3354,5.37
,Maine,23,2012,2012,35-39 years,35-39,10,1348,7.42
,Maine,23,2013,2013,20-24 years,20-24,22,2921,7.53
,Maine,23,2013,2013,25-29 years,25-29,26,3947,6.59
,Maine,23,2013,2013,30-34 years,30-34,26,3414,7.62
,Maine,23,2014,2014,20-24 years,20-24,21,2791,7.52
,Maine,23,2014,2014,25-29 years,25-29,25,3905,6.4
,Maine,23,2014,2014,30-34 years,30-34,20,3459,5.78
,Maryland,24,2007,2007,15-19 years,15-19,66,6892,9.58
,Maryland,24,2007,2007,20-24 years,20-24,119,16386,7.26
,Maryland,24,2007,2007,25-29 years,25-29,165,20674,7.98
,Maryland,24,2007,2007,30-34 years,30-34,141,19735,7.14
,Maryland,24,2007,2007,35-39 years,35-39,101,11430,8.84
,Maryland,24,2007,2007,40-44 years,40-44,26,2689,9.67
,Maryland,24,2008,2008,15-19 years,15-19,74,6560,11.28
,Maryland,24,2008,2008,20-24 years,20-24,155,16246,9.54
,Maryland,24,2008,2008,25-29 years,25-29,149,20760,7.18
,Maryland,24,2008,2008,30-34 years,30-34,129,19616,6.58
,Maryland,24,2008,2008,35-39 years,35-39,79,11196,7.06
,Maryland,24,2008,2008,40-44 years,40-44,26,2604,9.98
,Maryland,24,2009,2009,15-19 years,15-19,58,6140,9.45
,Maryland,24,2009,2009,20-24 years,20-24,128,15670,8.17
,Maryland,24,2009,2009,25-29 years,25-29,118,20179,5.85
,Maryland,24,2009,2009,30-34 years,30-34,137,19404,7.06
,Maryland,24,2009,2009,35-39 years,35-39,74,10752,6.88
,Maryland,24,2009,2009,40-44 years,40-44,22,2609,8.43
,Maryland,24,2010,2010,15-19 years,15-19,66,5396,12.23
,Maryland,24,2010,2010,20-24 years,20-24,117,14615,8.01
,Maryland,24,2010,2010,25-29 years,25-29,120,20313,5.91
,Maryland,24,2010,2010,30-34 years,30-34,105,19905,5.28
,Maryland,24,2010,2010,35-39 years,35-39,74,10627,6.96
,Maryland,24,2010,2010,40-44 years,40-44,21,2659,7.9
